ダウンロードした時刻：2024/01/3023:37:52

,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2020/4/4,9.1,8,1,0.0,0,8,1,薄曇後晴,8,1,15.0,8,1,3.5,8,1,0,1,8,1,14.7,8,1,0.0,0,8,1,快晴,8,1,20.8,8,1,9.8,8,1,0,1,8,1,11.7,8,1,0.0,8,1,,0,1,18.0,8,1,5.7,8,1,0,8,1,20.0,8,1,5.0,0,8,1,曇時々雨,8,1,22.7,8,1,18.6,8,1,0,1,8,1,15.7,8,1,0,1,8,1,快晴,8,1,22.3,8,1,8.6,8,1,0,1,8,1
2020/4/5,5.2,8,1,3.0,0,8,1,曇時々晴一時雨,8,1,8.4,8,1,1.4,8,1,0,1,8,1,10.5,8,1,0.0,0,8,1,晴,8,1,14.1,8,1,7.8,8,1,0,1,8,1,9.0,8,1,0.0,8,1,,0,1,14.6,8,1,2.1,8,1,0,8,1,19.6,8,1,0.0,0,8,1,晴時々曇,8,1,22.1,8,1,18.5,8,1,0,1,8,1,10.2,8,1,0.0,0,8,1,曇後雨一時晴,8,1,15.9,8,1,5.6,8,1,0,1,8,1
2020/4/6,3.6,8,1,2.0,0,8,1,雨時々曇一時みぞれ、あられを伴う,8,1,8.9,8,1,1.1,8,1,0,1,8,1,11.2,8,1,0,1,8,1,晴,8,1,15.6,8,1,8.1,8,1,0,1,8,1,7.8,8,1,0.0,8,1,,0,1,16.7,5,1,-1.4,5,1,0,8,1,19.9,8,1,0.0,0,8,1,曇,8,1,22.4,8,1,18.5,8,1,0,1,8,1,12.1,8,1,0,1,8,1,晴,8,1,18.4,8,1,6.3,8,1,0,1,8,1
2020/4/7,5.3,8,1,0.5,0,8,1,曇時々雨,8,1,7.0,8,1,3.0,8,1,0,1,8,1,12.8,8,1,0,1,8,1,薄曇後晴,8,1,18.4,8,1,6.6,8,1,0,1,8,1,10.8,8,1,0.0,8,1,,0,1,17.9,8,1,4.7,8,1,0,8,1,17.6,8,1,6.5,0,8,1,雨時々曇,8,1,19.0,8,1,16.1,8,1,0,1,8,1,12.4,8,1,0,1,8,1,薄曇,8,1,18.0,8,1,7.9,8,1,0,1,8,1
2020/4/8,6.8,8,1,1.0,0,8,1,晴時々曇,8,1,11.8,8,1,3.5,8,1,0,1,8,1,14.8,8,1,0,1,8,1,快晴,8,1,20.4,8,1,8.8,8,1,0,1,8,1,10.6,8,1,0.0,8,1,,0,1,19.0,8,1,2.2,8,1,0,8,1,19.9,8,1,0.0,0,8,1,晴一時曇,8,1,23.2,8,1,17.7,8,1,0,1,8,1,14.3,8,1,0,1,8,1,快晴,8,1,20.2,8,1,7.9,8,1,0,1,8,1
2020/4/9,4.0,8,1,14.5,0,8,1,曇時々雨、みぞれを伴う,8,1,8.0,8,1,1.1,8,1,0,1,8,1,13.2,8,1,0,1,8,1,快晴,8,1,17.9,8,1,9.2,8,1,0,1,8,1,10.8,8,1,0.0,8,1,,0,1,18.9,8,1,2.1,8,1,0,8,1,18.7,8,1,8.5,0,8,1,雨時々曇,8,1,20.8,8,1,16.7,8,1,0,1,8,1,13.3,8,1,0.5,0,8,1,晴後曇,8,1,20.2,8,1,8.0,8,1,0,1,8,1
2020/4/10,3.9,8,1,2.0,0,8,1,雨時々曇後晴,8,1,6.2,8,1,1.8,8,1,0,1,8,1,11.4,8,1,0,1,8,1,晴一時薄曇,8,1,16.0,8,1,8.1,8,1,0,1,8,1,10.2,8,1,0.0,8,1,,0,1,16.7,8,1,2.7,8,1,0,8,1,20.3,8,1,0,1,8,1,晴,8,1,24.0,8,1,16.3,8,1,0,1,8,1,11.2,8,1,0,1,8,1,晴一時薄曇,8,1,17.2,8,1,7.4,8,1,0,1,8,1
2020/4/11,4.5,8,1,0.5,0,8,1,曇一時雨、あられを伴う,8,1,7.9,8,1,2.4,8,1,0,1,8,1,11.2,8,1,0,1,8,1,薄曇,8,1,15.5,8,1,6.4,8,1,0,1,8,1,10.3,8,1,0.0,8,1,,0,1,17.2,8,1,3.1,8,1,0,8,1,20.9,8,1,1.5,0,8,1,曇後一時雨,8,1,23.6,8,1,19.1,8,1,0,1,8,1,11.4,8,1,0.5,0,8,1,晴後時々曇,8,1,17.0,8,1,6.8,8,1,0,1,8,1
2020/4/12,3.5,8,1,0,1,8,1,晴一時曇,8,1,7.3,8,1,0.0,8,1,0,1,8,1,9.2,8,1,21.5,0,8,1,雨,8,1,11.3,8,1,7.8,8,1,0,1,8,1,8.3,8,1,26.5,8,1,,0,1,10.2,8,1,6.5,8,1,0,8,1,18.6,8,1,9.0,0,8,1,曇一時雨,8,1,21.2,8,1,16.2,8,1,0,1,8,1,10.3,8,1,6.5,0,8,1,曇一時雨,8,1,14.6,8,1,7.4,8,1,0,1,8,1
2020/4/13,5.6,8,1,0,1,8,1,晴,8,1,11.4,8,1,0.0,8,1,0,1,8,1,10.3,8,1,14.0,0,8,1,雨,8,1,11.3,8,1,9.0,8,1,0,1,8,1,6.5,8,1,2.0,8,1,,0,1,8.2,8,1,5.1,8,1,0,8,1,17.4,8,1,0.0,0,8,1,曇時々雨後晴,8,1,19.6,8,1,15.4,8,1,0,1,8,1,8.0,8,1,132.0,0,8,1,大雨,8,1,10.1,8,1,5.4,8,1,0,1,8,1
2020/4/14,5.7,8,1,0,1,8,1,快晴,8,1,9.2,8,1,1.4,8,1,0,1,8,1,12.7,8,1,0.0,0,8,1,晴,8,1,17.8,8,1,8.9,8,1,0,1,8,1,10.1,8,1,0.5,8,1,,0,1,18.3,8,1,2.0,8,1,0,8,1,18.2,8,1,0,1,8,1,薄曇時々晴,8,1,20.7,8,1,16.5,8,1,0,1,8,1,10.9,8,1,1.5,0,8,1,快晴,8,1,17.2,8,1,5.5,8,1,0,1,8,1
2020/4/15,4.8,8,1,0.0,0,8,1,晴一時曇,8,1,9.0,8,1,1.7,8,1,0,1,8,1,14.0,8,1,0,1,8,1,薄曇,8,1,19.8,8,1,7.3,8,1,0,1,8,1,11.1,8,1,0.0,8,1,,0,1,18.4,8,1,4.5,8,1,0,8,1,19.6,8,1,0.0,0,8,1,曇後一時晴,8,1,22.1,8,1,16.9,8,1,0,1,8,1,13.8,8,1,0,1,8,1,薄曇一時晴,8,1,20.8,8,1,5.5,8,1,0,1,8,1
2020/4/16,5.0,8,1,0.0,0,8,1,晴一時曇,8,1,8.1,8,1,2.5,8,1,0,1,8,1,14.9,8,1,0,1,8,1,薄曇後晴,8,1,21.2,8,1,10.2,8,1,0,1,8,1,12.1,8,1,0.0,8,1,,0,1,21.1,8,1,4.5,8,1,0,8,1,20.5,8,1,0,1,8,1,晴,8,1,22.9,8,1,17.8,8,1,0,1,8,1,11.7,8,1,0.5,0,8,1,曇,8,1,16.3,8,1,8.6,8,1,0,1,8,1
2020/4/17,7.2,8,1,0,1,8,1,晴,8,1,13.9,8,1,1.4,8,1,0,1,8,1,15.7,8,1,0.0,0,8,1,曇,8,1,23.0,8,1,9.5,8,1,0,1,8,1,12.6,8,1,1.5,8,1,,0,1,19.9,8,1,4.4,8,1,0,8,1,21.1,8,1,0,1,8,1,晴,8,1,24.8,8,1,16.6,8,1,0,1,8,1,12.4,8,1,0.5,0,8,1,曇時々晴,8,1,17.8,8,1,8.3,8,1,0,1,8,1
2020/4/18,8.7,8,1,0.0,0,8,1,晴後曇一時雨,8,1,12.6,8,1,4.0,8,1,0,1,8,1,15.5,8,1,25.5,0,8,1,曇時々雨後時々晴,8,1,18.0,8,1,13.6,8,1,0,1,8,1,13.6,8,1,6.5,8,1,,0,1,17.7,8,1,7.6,8,1,0,8,1,23.5,8,1,0.0,0,8,1,晴後一時薄曇,8,1,27.3,8,1,19.7,8,1,0,1,8,1,12.9,8,1,89.5,0,8,1,大雨,8,1,16.2,8,1,9.8,8,1,0,1,8,1
2020/4/19,11.5,8,1,0,1,8,1,晴一時薄曇,8,1,17.2,8,1,7.7,8,1,0,1,8,1,15.3,8,1,0.5,0,8,1,曇,8,1,18.1,8,1,13.2,8,1,0,1,8,1,11.6,8,1,24.5,8,1,,0,1,17.0,8,1,3.9,8,1,0,8,1,23.7,8,1,0.0,0,8,1,曇一時晴,8,1,25.7,8,1,21.8,8,1,0,1,8,1,14.7,8,1,0,1,8,1,晴,8,1,22.5,8,1,9.0,8,1,0,1,8,1
2020/4/20,8.2,8,1,16.0,0,8,1,曇後雨,8,1,10.3,8,1,5.6,8,1,0,1,8,1,15.7,8,1,23.5,0,8,1,曇時々雨後時々晴,8,1,19.9,8,1,12.3,8,1,0,1,8,1,13.9,8,1,6.5,8,1,,0,1,17.7,8,1,11.8,8,1,0,8,1,20.8,8,1,11.0,0,8,1,雨後曇,8,1,23.9,8,1,18.4,8,1,0,1,8,1,9.7,8,1,15.0,0,8,1,雨,8,1,10.7,8,1,8.3,8,1,0,1,8,1
2020/4/21,9.6,8,1,1.5,0,8,1,曇時々雨一時晴,8,1,14.0,8,1,4.8,8,1,0,1,8,1,16.1,8,1,0,1,8,1,曇後一時晴,8,1,18.7,8,1,14.7,8,1,0,1,8,1,12.5,8,1,0.0,8,1,,0,1,15.9,8,1,9.4,8,1,0,8,1,19.6,8,1,4.0,0,8,1,雨時々曇,8,1,21.0,8,1,18.0,8,1,0,1,8,1,14.2,8,1,0,1,8,1,曇,8,1,18.9,8,1,9.0,8,1,0,1,8,1
2020/4/22,5.7,8,1,0.5,0,8,1,曇時々晴一時みぞれ,8,1,10.2,8,1,2.7,8,1,0,1,8,1,12.8,8,1,0.0,0,8,1,曇,8,1,14.8,8,1,10.1,8,1,0,1,8,1,8.8,8,1,0.0,8,1,,0,1,12.5,8,1,6.0,8,1,0,8,1,17.3,8,1,1.0,0,8,1,曇一時雨,8,1,18.5,8,1,16.3,8,1,0,1,8,1,13.5,8,1,0.0,0,8,1,晴後曇時々雨,8,1,19.2,8,1,8.8,8,1,0,1,8,1
2020/4/23,3.9,8,1,1.5,0,8,1,雨一時曇後時々みぞれ,8,1,9.0,8,1,1.7,8,1,0,1,8,1,11.7,8,1,0.0,0,8,1,晴後時々曇,8,1,15.5,8,1,8.6,8,1,0,1,8,1,7.2,8,1,0.0,8,1,,0,1,10.2,8,1,3.3,8,1,0,8,1,17.9,8,1,0.0,0,8,1,曇,8,1,19.4,8,1,17.1,8,1,0,1,8,1,11.9,8,1,1.0,0,8,1,晴時々薄曇,8,1,17.0,8,1,6.6,8,1,0,1,8,1
2020/4/24,5.8,8,1,0.0,0,8,1,曇一時みぞれ,8,1,9.4,8,1,1.8,8,1,0,1,8,1,12.0,8,1,0.0,0,8,1,晴時々曇,8,1,16.5,8,1,8.2,8,1,0,1,8,1,9.0,8,1,0.0,8,1,,0,1,13.7,8,1,3.2,8,1,0,8,1,17.8,8,1,0.0,0,8,1,曇,8,1,19.7,8,1,16.3,8,1,0,1,8,1,12.2,8,1,0.5,0,8,1,晴一時曇,8,1,18.4,8,1,6.9,8,1,0,1,8,1
2020/4/25,6.9,8,1,6.5,0,8,1,曇時々雨,8,1,11.1,8,1,3.7,8,1,0,1,8,1,14.4,8,1,0,1,8,1,快晴,8,1,20.1,8,1,6.9,8,1,0,1,8,1,10.6,8,1,0.0,8,1,,0,1,17.6,8,1,0.3,8,1,0,8,1,19.5,8,1,0.0,0,8,1,曇,8,1,22.1,8,1,17.1,8,1,0,1,8,1,12.7,8,1,0,1,8,1,快晴,8,1,18.8,8,1,5.3,8,1,0,1,8,1
2020/4/26,7.7,8,1,0.5,0,8,1,雨時々曇,8,1,10.7,8,1,5.4,8,1,0,1,8,1,17.7,8,1,0.0,0,8,1,曇,8,1,22.2,8,1,13.0,8,1,0,1,8,1,14.9,8,1,0.0,8,1,,0,1,18.5,8,1,12.0,8,1,0,8,1,18.3,8,1,19.5,0,8,1,雨一時曇,8,1,21.4,8,1,15.4,8,1,0,1,8,1,18.3,8,1,0,1,8,1,薄曇時々晴,8,1,24.2,8,1,11.5,8,1,0,1,8,1
2020/4/27,6.2,8,1,1.5,0,8,1,曇時々雨,8,1,10.2,8,1,4.1,8,1,0,1,8,1,16.0,8,1,0,1,8,1,晴一時薄曇,8,1,20.8,8,1,12.7,8,1,0,1,8,1,13.4,8,1,0.0,8,1,,0,1,19.2,8,1,7.9,8,1,0,8,1,19.5,8,1,0.0,0,8,1,曇後時々雨,8,1,23.1,8,1,16.3,8,1,0,1,8,1,12.8,8,1,12.5,0,8,1,曇後雨,8,1,17.8,8,1,8.5,8,1,0,1,8,1
2020/4/28,9.8,8,1,0.0,0,8,1,晴時々曇,8,1,14.9,8,1,4.5,8,1,0,1,8,1,15.4,8,1,0.0,0,8,1,晴,8,1,20.0,8,1,11.3,8,1,0,1,8,1,12.4,8,1,0.0,8,1,,0,1,18.5,8,1,5.0,8,1,0,8,1,20.6,8,1,0,1,8,1,晴時々曇,8,1,24.2,8,1,17.1,8,1,0,1,8,1,12.3,8,1,5.0,0,8,1,曇後一時雨、雷を伴う,8,1,19.1,8,1,8.0,8,1,0,1,8,1
2020/4/29,9.7,8,1,1.0,0,8,1,雨後曇一時晴,8,1,12.9,8,1,6.2,8,1,0,1,8,1,16.3,8,1,0,1,8,1,快晴,8,1,22.3,8,1,9.6,8,1,0,1,8,1,12.5,8,1,0.0,8,1,,0,1,22.0,8,1,3.2,8,1,0,8,1,21.0,8,1,0,1,8,1,薄曇時々晴,8,1,24.0,8,1,17.9,8,1,0,1,8,1,15.1,8,1,0,1,8,1,快晴,8,1,21.7,8,1,8.9,8,1,0,1,8,1
2020/4/30,13.0,8,1,0,1,8,1,晴後一時曇,8,1,20.9,8,1,4.2,8,1,0,1,8,1,18.4,8,1,0,1,8,1,快晴,8,1,24.1,8,1,12.4,8,1,0,1,8,1,13.7,8,1,0.0,8,1,,0,1,23.7,8,1,4.0,8,1,0,8,1,21.8,8,1,0,1,8,1,晴後一時曇,8,1,25.0,8,1,18.4,8,1,0,1,8,1,18.0,8,1,0,1,8,1,晴,8,1,23.9,8,1,11.7,8,1,0,1,8,1
2020/5/1,14.3,8,1,0.0,0,8,1,曇一時晴,8,1,19.7,8,1,10.9,8,1,0,1,8,1,20.2,8,1,0,1,8,1,快晴,8,1,25.7,8,1,15.4,8,1,0,1,8,1,16.1,8,1,0.0,8,1,,0,1,25.2,8,1,6.5,8,1,0,8,1,22.8,8,1,0.0,0,8,1,曇一時晴,8,1,25.8,8,1,20.1,8,1,0,1,8,1,19.9,8,1,0,1,8,1,晴時々薄曇,8,1,25.5,8,1,16.2,8,1,0,1,8,1
2020/5/2,15.6,8,1,1.0,0,8,1,曇時々晴一時雨、雷を伴う,8,1,23.3,8,1,8.7,8,1,0,1,8,1,21.3,8,1,0,1,8,1,晴後薄曇,8,1,27.8,8,1,16.6,8,1,0,1,8,1,18.1,8,1,0.0,8,1,,0,1,26.8,8,1,9.7,8,1,0,8,1,21.8,8,1,184.5,0,8,1,大雨,8,1,22.7,8,1,20.4,8,1,0,1,8,1,20.6,8,1,0,1,8,1,快晴,8,1,26.9,8,1,15.3,8,1,0,1,8,1
2020/5/3,17.4,8,1,0,1,8,1,曇一時晴,8,1,24.1,8,1,12.7,8,1,0,1,8,1,19.5,8,1,0.0,0,8,1,曇後時々雨,8,1,23.8,8,1,17.2,8,1,0,1,8,1,18.2,8,1,3.5,8,1,,0,1,22.1,8,1,14.9,8,1,0,8,1,24.1,8,1,21.5,0,8,1,曇後雨、雷を伴う,8,1,27.4,8,1,21.8,8,1,0,1,8,1,20.7,8,1,0,1,8,1,曇,8,1,25.8,8,1,16.5,8,1,0,1,8,1
2020/5/4,16.7,8,1,2.0,0,8,1,曇,8,1,22.5,8,1,9.9,8,1,0,1,8,1,20.8,8,1,1.0,0,8,1,曇時々雨後晴,8,1,26.2,8,1,17.1,8,1,0,1,8,1,19.4,8,1,3.0,8,1,,0,1,25.5,8,1,15.1,8,1,0,8,1,26.0,8,1,0.5,0,8,1,晴一時曇,8,1,29.6,8,1,23.0,8,1,0,1,8,1,19.3,8,1,2.0,0,8,1,雨後曇,8,1,22.2,8,1,17.3,8,1,0,1,8,1
2020/5/5,8.1,8,1,1.5,0,8,1,雨一時曇後晴,8,1,11.4,8,1,6.2,8,1,0,1,8,1,23.0,8,1,0.0,0,8,1,薄曇,8,1,28.6,8,1,19.5,8,1,0,1,8,1,21.2,8,1,0.0,8,1,,0,1,30.1,8,1,14.9,8,1,0,8,1,26.2,8,1,0.0,0,8,1,曇時々晴,8,1,29.5,5,1,24.2,5,1,0,1,8,1,21.3,8,1,0.0,0,8,1,曇時々晴,8,1,28.4,8,1,16.4,8,1,0,1,8,1
2020/5/6,8.1,8,1,6.5,0,8,1,曇後雨,8,1,11.9,8,1,5.2,8,1,0,1,8,1,19.9,8,1,0.0,0,8,1,曇後一時雨,8,1,24.8,8,1,15.3,8,1,0,1,8,1,21.0,8,1,0.0,8,1,,0,1,28.1,8,1,16.3,8,1,0,8,1,25.2,8,1,104.0,0,8,1,曇時々大雨、雷を伴う,8,1,28.3,8,1,23.1,8,1,0,1,8,1,15.8,8,1,19.0,0,8,1,曇時々雨、雷を伴う,8,1,17.3,8,1,14.6,8,1,0,1,8,1
2020/5/7,9.7,8,1,0.0,0,8,1,晴一時曇,8,1,14.1,8,1,5.0,8,1,0,1,8,1,17.5,8,1,0,1,8,1,晴,8,1,24.1,8,1,13.5,8,1,0,1,8,1,17.7,8,1,0.0,8,1,,0,1,23.0,8,1,9.4,8,1,0,8,1,24.7,8,1,0.0,0,8,1,晴時々曇一時雨,8,1,28.0,5,1,23.2,5,1,0,1,8,1,16.5,8,1,0.5,0,8,1,晴,8,1,22.5,8,1,11.0,8,1,0,1,8,1
2020/5/8,15.1,8,1,0,1,8,1,晴後薄曇,8,1,22.7,8,1,6.2,8,1,0,1,8,1,18.2,8,1,0,1,8,1,晴後時々曇,8,1,23.2,8,1,12.5,8,1,0,1,8,1,17.2,8,1,0.0,8,1,,0,1,23.5,8,1,9.4,8,1,0,8,1,23.4,8,1,0.0,0,8,1,曇,8,1,25.5,8,1,22.0,8,1,0,1,8,1,16.7,8,1,0,1,8,1,晴一時曇,8,1,22.1,8,1,11.1,8,1,0,1,8,1
2020/5/9,15.7,8,1,0,1,8,1,曇一時晴,8,1,22.6,8,1,11.7,8,1,0,1,8,1,18.7,8,1,1.5,0,8,1,曇後時々雨,8,1,22.9,8,1,15.6,8,1,0,1,8,1,18.0,8,1,8.0,8,1,,0,1,21.2,8,1,15.4,8,1,0,8,1,24.6,8,1,0.0,0,8,1,曇時々晴,8,1,27.8,8,1,22.5,8,1,0,1,8,1,18.3,8,1,0.0,0,8,1,曇,8,1,23.0,8,1,13.9,8,1,0,1,8,1
2020/5/10,12.4,8,1,9.5,0,8,1,雨,8,1,15.0,8,1,11.3,8,1,0,1,8,1,20.7,8,1,4.0,0,8,1,曇,8,1,26.2,8,1,17.3,8,1,0,1,8,1,18.4,8,1,1.5,8,1,,0,1,23.0,8,1,15.4,8,1,0,8,1,26.1,8,1,0,1,8,1,晴一時曇,8,1,28.9,8,1,23.7,8,1,0,1,8,1,21.5,8,1,1.0,0,8,1,曇時々雨,8,1,25.7,8,1,17.7,8,1,0,1,8,1
2020/5/11,13.9,8,1,2.0,0,8,1,曇時々雨一時晴,8,1,19.7,8,1,11.0,8,1,0,1,8,1,22.3,8,1,0.0,0,8,1,晴,8,1,26.4,8,1,18.5,8,1,0,1,8,1,19.0,8,1,0.5,8,1,,0,1,25.9,8,1,13.8,8,1,0,8,1,25.2,8,1,4.0,0,8,1,曇一時雨,8,1,28.4,8,1,23.8,8,1,0,1,8,1,22.9,8,1,0.5,0,8,1,晴時々曇,8,1,28.1,8,1,20.2,8,1,0,1,8,1
2020/5/12,15.5,8,1,0.0,0,8,1,薄曇時々晴,8,1,21.4,8,1,8.3,8,1,0,1,8,1,21.8,8,1,0,1,8,1,曇時々晴,8,1,26.5,8,1,17.2,8,1,0,1,8,1,16.2,8,1,0.0,8,1,,0,1,21.6,8,1,11.0,8,1,0,8,1,23.8,8,1,62.0,0,8,1,大雨時々曇,8,1,26.0,8,1,22.1,8,1,0,1,8,1,21.7,8,1,0.0,0,8,1,曇一時雨,8,1,26.5,8,1,19.1,8,1,0,1,8,1
2020/5/13,14.6,8,1,0.0,0,8,1,晴後曇一時雨,8,1,21.2,8,1,11.2,8,1,0,1,8,1,20.7,8,1,0,1,8,1,晴,8,1,24.5,8,1,16.0,8,1,0,1,8,1,16.7,8,1,0.0,8,1,,0,1,23.1,8,1,9.7,8,1,0,8,1,24.1,8,1,0.0,0,8,1,晴一時曇,8,1,28.0,8,1,21.9,8,1,0,1,8,1,22.3,8,1,0,1,8,1,晴,8,1,28.7,8,1,16.8,8,1,0,1,8,1
2020/5/14,14.1,8,1,0.0,0,8,1,晴一時曇,8,1,18.6,8,1,10.3,8,1,0,1,8,1,20.7,8,1,0,1,8,1,晴後一時薄曇,8,1,26.9,8,1,13.9,8,1,0,1,8,1,17.6,8,1,0.0,8,1,,0,1,27.6,8,1,5.9,8,1,0,8,1,24.0,8,1,0,1,8,1,晴後曇,8,1,26.6,8,1,21.4,8,1,0,1,8,1,20.8,8,1,0,1,8,1,晴後薄曇,8,1,26.2,8,1,13.8,8,1,0,1,8,1
2020/5/15,15.9,8,1,0,1,8,1,晴後薄曇,8,1,23.4,8,1,8.4,8,1,0,1,8,1,20.2,8,1,0.5,0,8,1,曇,8,1,24.6,8,1,16.3,8,1,0,1,8,1,17.4,8,1,39.0,8,1,,0,1,21.8,8,1,13.7,8,1,0,8,1,26.6,8,1,0.0,0,8,1,曇時々晴,8,1,29.5,8,1,24.3,8,1,0,1,8,1,21.5,8,1,0.0,0,8,1,薄曇,8,1,26.5,8,1,15.2,8,1,0,1,8,1
2020/5/16,13.0,8,1,0.0,0,8,1,曇,8,1,16.5,8,1,10.6,8,1,0,1,8,1,16.8,8,1,20.5,0,8,1,雨一時曇,8,1,19.5,8,1,15.9,8,1,0,1,8,1,19.9,8,1,120.5,8,1,,0,1,23.5,8,1,17.1,8,1,0,8,1,26.6,8,1,0.5,0,8,1,曇,8,1,29.5,8,1,24.5,8,1,0,1,8,1,18.5,8,1,24.0,0,8,1,雨一時曇,8,1,21.7,8,1,16.4,8,1,0,1,8,1
2020/5/17,11.6,8,1,0.0,0,8,1,曇後晴,8,1,14.8,8,1,8.6,8,1,0,1,8,1,20.9,8,1,0,1,8,1,晴時々曇,8,1,26.6,8,1,16.7,8,1,0,1,8,1,21.5,8,1,1.5,8,1,,0,1,26.8,8,1,18.6,8,1,0,8,1,27.1,8,1,0.0,0,8,1,曇,8,1,30.1,8,1,26.1,8,1,0,1,8,1,21.6,8,1,0.0,0,8,1,晴,8,1,28.2,8,1,15.8,8,1,0,1,8,1
2020/5/18,9.6,8,1,0,1,8,1,曇,8,1,12.6,8,1,5.9,8,1,0,1,8,1,21.2,8,1,36.5,0,8,1,曇後時々雨,8,1,26.7,8,1,17.7,8,1,0,1,8,1,18.7,8,1,59.0,8,1,,0,1,20.2,8,1,17.2,8,1,0,8,1,25.4,8,1,53.5,0,8,1,大雨時々曇後一時晴、雷を伴う,8,1,28.1,8,1,23.3,8,1,0,1,8,1,19.2,8,1,2.0,0,8,1,雨時々曇,8,1,20.1,8,1,18.7,8,1,0,1,8,1
2020/5/19,11.4,8,1,0,1,8,1,薄曇後晴,8,1,17.7,8,1,6.7,8,1,0,1,8,1,20.7,8,1,17.5,0,8,1,曇時々晴一時雨,8,1,26.9,8,1,17.7,8,1,0,1,8,1,17.2,8,1,2.5,8,1,,0,1,19.9,8,1,13.8,8,1,0,8,1,23.4,8,1,14.0,0,8,1,曇後雨,8,1,26.6,8,1,20.6,8,1,0,1,8,1,17.7,8,1,54.5,0,8,1,雨,8,1,19.2,8,1,13.4,8,1,0,1,8,1
2020/5/20,10.0,8,1,0,1,8,1,曇,8,1,13.9,8,1,7.0,8,1,0,1,8,1,20.1,8,1,0,1,8,1,晴,8,1,23.6,8,1,17.5,8,1,0,1,8,1,16.3,8,1,0.0,8,1,,0,1,20.8,8,1,13.1,8,1,0,8,1,23.7,8,1,0,1,8,1,薄曇,8,1,27.2,8,1,20.6,8,1,0,1,8,1,12.7,8,1,3.0,0,8,1,曇一時雨,8,1,15.4,8,1,10.9,8,1,0,1,8,1
2020/5/21,11.0,8,1,0,1,8,1,快晴,8,1,18.5,8,1,4.8,8,1,0,1,8,1,18.6,8,1,0,1,8,1,晴後薄曇,8,1,23.1,8,1,15.3,8,1,0,1,8,1,15.5,8,1,0.0,8,1,,0,1,20.9,8,1,10.3,8,1,0,8,1,20.7,8,1,7.0,0,8,1,雨一時曇,8,1,23.2,8,1,18.2,8,1,0,1,8,1,12.7,8,1,0.5,0,8,1,曇一時雨,8,1,14.8,8,1,10.7,8,1,0,1,8,1
2020/5/22,10.1,8,1,0.0,0,8,1,曇時々晴,8,1,14.4,8,1,6.3,8,1,0,1,8,1,19.9,8,1,0.0,0,8,1,曇時々晴,8,1,25.7,8,1,14.8,8,1,0,1,8,1,16.6,8,1,0.0,8,1,,0,1,23.8,8,1,9.3,8,1,0,8,1,22.1,8,1,38.5,0,8,1,大雨,8,1,23.2,8,1,19.2,8,1,0,1,8,1,15.3,8,1,1.0,0,8,1,曇時々雨,8,1,18.1,8,1,12.8,8,1,0,1,8,1
2020/5/23,12.8,8,1,0.0,0,8,1,薄曇時々晴,8,1,17.6,8,1,9.0,8,1,0,1,8,1,22.8,8,1,0,1,8,1,晴後薄曇,8,1,28.5,8,1,18.8,8,1,0,1,8,1,19.6,8,1,0.0,8,1,,0,1,26.1,8,1,12.4,8,1,0,8,1,23.3,8,1,41.5,0,8,1,大雨後一時曇,8,1,23.8,8,1,22.7,8,1,0,1,8,1,18.4,8,1,0.0,0,8,1,曇時々雨後晴,8,1,23.7,8,1,15.3,8,1,0,1,8,1
2020/5/24,15.0,8,1,3.0,0,8,1,晴後曇一時雨,8,1,20.6,8,1,11.1,8,1,0,1,8,1,22.9,8,1,0.0,0,8,1,晴後一時曇,8,1,28.1,8,1,20.1,8,1,0,1,8,1,20.1,8,1,0.0,8,1,,0,1,26.2,8,1,14.1,8,1,0,8,1,24.5,8,1,0.5,0,8,1,曇時々晴一時雨,8,1,27.4,8,1,22.7,8,1,0,1,8,1,20.8,8,1,0,1,8,1,晴一時曇,8,1,26.5,8,1,15.8,8,1,0,1,8,1
2020/5/25,15.3,8,1,8.0,0,8,1,曇一時雨,8,1,20.9,8,1,11.1,8,1,0,1,8,1,23.4,8,1,0,1,8,1,薄曇,8,1,27.1,8,1,20.8,8,1,0,1,8,1,20.5,8,1,0.0,8,1,,0,1,25.8,8,1,15.9,8,1,0,8,1,25.2,8,1,0.0,0,8,1,晴後曇,8,1,28.6,8,1,22.9,8,1,0,1,8,1,21.6,8,1,0,1,8,1,薄曇,8,1,26.5,8,1,18.1,8,1,0,1,8,1
